"","ID","Generation","Group","FAC1_2","FAC2_2","FAC1_1","FAC2_1","FAC1_3","FAC2_3","FAC1_4","FAC2_4"
"1","CTRL2",0,1,"1.90217","0.67583","","","","","0.5358","-0.28006"
"2","CTRL3",0,1,"1.73065","0.2066","","","","","-0.16512","-0.13026"
"3","CTRL4",0,1,"1.08349","0.10141","","","","","-0.17458","-0.15492"
"4","CTRL5",0,1,"0.91832","0.15257","","","","","-0.73612","0.15326"
"5","HFD1",0,2,"0.00555","-0.3733","","","","","-1.44857","-1.05562"
"6","HFD2",0,2,"0.03925","-1.00073","","","","","-1.49058","-1.43039"
"7","HFD3",0,2,"-0.07028","-0.78206","","","","","-1.61162","-1.1624"
"8","HFD4",0,2,"-0.86184","-0.13369","","","","","-1.37532","0.35764"
"9","HFD5",0,2,"0.12884","-1.62221","","","","","-1.60095","-2.03489"
"10","HFD6",0,2,"-0.91898","-1.63228","","","","","-2.41102","-1.02109"
"11","HFDt1",0,3,"-0.15247","1.25103","","","","","-0.31302","1.6798"
"12","HFDt2",0,3,"-1.04461","1.73947","","","","","-1.03892","3.32868"
"13","HFDt3",0,3,"-0.68384","0.07656","","","","","-1.72716","0.951"
"14","HFDt4",0,3,"-1.14153","-0.00239","","","","","-1.54426","0.77364"
"15","HFDt5",0,3,"-0.93474","1.34317","","","","","-1.09293","2.82874"
"16","CTRL1",1,1,"","","-0.75502","0.41209","","","0.11355","-0.02753"
"17","CTRL3",1,1,"","","-0.8665","0.15415","","","0.15237","-0.0602"
"18","CTRL4",1,1,"","","-1.20176","-2.01814","","","0.46419","-0.76364"
"19","CTRL5",1,1,"","","-0.93761","-0.03103","","","0.24973","0.18664"
"20","CTRL6",1,1,"","","-0.84803","-0.37783","","","0.38454","0.50458"
"21","HFD1",1,2,"","","1.29462","-0.36012","","","1.18607","-0.27022"
"22","HFD2",1,2,"","","2.25582","0.51589","","","1.65748","-0.09381"
"23","HFD3",1,2,"","","0.45869","-0.1404","","","0.95317","0.82951"
"24","HFD4",1,2,"","","0.19917","-0.71095","","","0.89076","0.12987"
"25","HFD5",1,2,"","","-0.48523","0.77855","","","0.42289","0.34045"
"26","HFD6",1,2,"","","0.57296","-0.48136","","","0.96348","0.12568"
"27","HFDt1",1,3,"","","1.06214","-0.5276","","","1.43431","-0.40202"
"28","HFDt2",1,3,"","","-0.24565","0.56962","","","0.43095","0.46716"
"29","HFDt3",1,3,"","","-0.80108","-0.85475","","","0.74404","-0.45813"
"30","HFDt4",1,3,"","","0.77468","-0.82483","","","1.17791","-0.47512"
"31","HFDt5",1,3,"","","0.63143","1.61288","","","0.83623","1.37375"
"32","HFDt6",1,3,"","","-1.10863","2.28382","","","-0.23183","1.18044"
"33","CTRL1",2,1,"","","","","0.66672","0.77588","0.69031","0.42842"
"34","CTRL2",2,1,"","","","","2.1827","0.38566","-0.44611","-1.65734"
"35","CTRL3",2,1,"","","","","0.73843","0.52911","0.11742","0.18291"
"36","CTRL4",2,1,"","","","","0.73378","-0.53434","-0.04708","-0.42857"
"37","CTRL5",2,1,"","","","","0.49877","0.82722","0.89561","-0.33857"
"38","CTRL6",2,1,"","","","","0.46237","0.4365","0.22616","0.33256"
"39","HFD1",2,2,"","","","","0.6878","-0.47853","-0.29642","-0.92104"
"40","HFD3",2,2,"","","","","-1.01771","2.25353","1.65957","0.25133"
"41","HFD5",2,2,"","","","","-0.94083","0.41468","0.95978","-1.04426"
"42","HFD6",2,2,"","","","","-0.99455","0.10965","0.88226","-0.69026"
"43","HFDt1",2,3,"","","","","-0.29427","-1.62681","-0.25561","-0.35319"
"44","HFDt2",2,3,"","","","","-0.45639","-1.31345","-0.43944","-0.15569"
"45","HFDt3",2,3,"","","","","-0.50893","-0.86691","0.2682","-0.3257"
"46","HFDt4",2,3,"","","","","-1.81782","0.16778","0.91117","-0.78545"
"47","HFDt6",2,3,"","","","","0.05991","-1.07995","-0.76129","0.1143"
